annoaccademico,immatricolabile,corso_codice,corso_descrizione,url,campus,sededidattica,ambiti,tipologia,durata,internazionale,internazionale_titolo,internazionale_lingua,lingue,accesso
2019/2020,False,0033,Economia e amministrazione delle imprese,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2019/0033,Rimini,,Economia e management,Laurea,3,False,,,,libero
2019/2020,False,0034,Economia e management,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2019/0034,Rimini,,Economia e management,Laurea,3,False,,,,libero
2019/2020,False,0659,Giurisprudenza,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2019/0659,Bologna,Bologna,Giurisprudenza,Laurea Magistrale a ciclo unico,5,False,,,Italiano,libero accesso con verifica delle conoscenze
2019/2020,False,0660,Giurisprudenza,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2019/0660,Ravenna,Ravenna,Giurisprudenza,Laurea Magistrale a ciclo unico,5,False,,,Italiano,libero accesso con verifica delle conoscenze
2019/2020,True,0881,Architettura,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2019/0881,Cesena,Cesena,Ingegneria e architettura,Laurea Magistrale a ciclo unico,5,False,,,Italiano,numero chiuso
2019/2020,True,0884,Chimica industriale,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2019/0884,Bologna,Bologna,Scienze,Laurea Magistrale,2,True,Titolo multiplo (solo alcuni curricula),,Italiano,libero accesso con verifica dell'adeguatezza della preparazione
2019/2020,False,0894,Economia e gestione delle imprese,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2019/0894,Bologna,,Economia e management,Laurea,3,False,,,Italiano,numero chiuso
2019/2020,True,0897,Direzione aziendale,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2019/0897,Bologna,Bologna,Economia e management,Laurea Magistrale,2,True,,Erogato in lingua straniera (solo alcuni curricula),Italiano Inglese,numero chiuso
2019/2020,True,0900,Economia e professione,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2019/0900,Bologna,Bologna,Economia e management,Laurea Magistrale,2,False,,,Italiano,numero chiuso
2019/2020,True,0901,"Finanza, intermediari e mercati",http://www.unibo.it/it/didattica/corsi-di-studio/corso/2019/0901,Bologna,Bologna,Economia e management,Laurea Magistrale,2,False,,,Italiano,numero chiuso
2019/2020,True,0902,Innovation and organization of culture and the arts,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2019/0902,Bologna,Bologna,Economia e management,Laurea Magistrale,2,True,Titolo multiplo,Erogato in lingua straniera,Inglese,numero chiuso
2019/2020,True,0905,Economia e commercio,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2019/0905,Forlì,Forlì,Economia e management,Laurea Magistrale,2,True,Titolo multiplo,,Italiano,libero accesso con verifica dell'adeguatezza della preparazione
2019/2020,False,0923,Ingegneria elettronica e telecomunicazioni,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2019/0923,Bologna,Bologna,Ingegneria e architettura,Laurea,3,False,,,Italiano,numero chiuso
2019/2020,True,0924,Ingegneria energetica,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2019/0924,Bologna,Bologna,Ingegneria e architettura,Laurea,3,False,,,Italiano,numero chiuso
2019/2020,True,0925,Ingegneria gestionale,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2019/0925,Bologna,Bologna,Ingegneria e architettura,Laurea,3,False,,,Italiano,numero chiuso
2019/2020,False,0926,Ingegneria informatica,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2019/0926,Bologna,Bologna,Ingegneria e architettura,Laurea,3,False,,,Italiano,numero chiuso
2019/2020,True,0927,Ingegneria meccanica,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2019/0927,Bologna,Bologna,Ingegneria e architettura,Laurea,3,False,,,Italiano,numero chiuso
2019/2020,True,0930,Ingegneria civile,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2019/0930,Bologna,Bologna,Ingegneria e architettura,Laurea Magistrale,2,False,,,Italiano,libero accesso con verifica dell'adeguatezza della preparazione
2019/2020,True,0934,Ingegneria elettronica,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2019/0934,Bologna,Bologna,Ingegneria e architettura,Laurea Magistrale,2,True,,Erogato in lingua straniera (solo alcuni curricula),Italiano Inglese,libero accesso con verifica dell'adeguatezza della preparazione
2019/2020,True,0935,Ingegneria energetica,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2019/0935,Bologna,Bologna,Ingegneria e architettura,Laurea Magistrale,2,False,,,Italiano,libero accesso con verifica dell'adeguatezza della preparazione
2019/2020,True,0936,Ingegneria gestionale,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2019/0936,Bologna,Bologna,Ingegneria e architettura,Laurea Magistrale,2,False,,,Italiano,libero accesso con verifica dell'adeguatezza della preparazione
2019/2020,True,0937,Ingegneria informatica,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2019/0937,Bologna,Bologna,Ingegneria e architettura,Laurea Magistrale,2,False,,,Italiano,libero accesso con verifica dell'adeguatezza della preparazione
2019/2020,True,0938,Ingegneria meccanica,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2019/0938,Bologna,Bologna,Ingegneria e architettura,Laurea Magistrale,2,False,,,Italiano,libero accesso con verifica dell'adeguatezza della preparazione
2019/2020,True,0940,Ingegneria edile - architettura,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2019/0940,Bologna,Bologna,Ingegneria e architettura,Laurea Magistrale a ciclo unico,5,False,,,Italiano,numero chiuso
2019/2020,False,0946,Ingegneria biomedica,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2019/0946,Cesena,Cesena,Ingegneria e architettura,Laurea,3,False,,,Italiano,numero chiuso
2019/2020,True,0949,Ingegneria meccanica,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2019/0949,Forlì,Forlì,Ingegneria e architettura,Laurea,3,False,,,Italiano,numero chiuso
2019/2020,True,0956,"Dams - discipline delle arti, della musica e dello spettacolo",http://www.unibo.it/it/didattica/corsi-di-studio/corso/2019/0956,Bologna,Bologna,Studi umanistici,Laurea,3,False,,,Italiano,numero chiuso
2019/2020,True,0962,Storia,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2019/0962,Bologna,Bologna,Studi umanistici,Laurea,3,True,Titolo multiplo,,Italiano,libero accesso con verifica delle conoscenze
2019/2020,True,0964,Antropologia culturale ed etnologia,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2019/0964,Bologna,Bologna,Studi umanistici,Laurea Magistrale,2,False,,,Italiano,libero accesso con verifica dell'adeguatezza della preparazione
2019/2020,True,0966,"Cinema, televisione e produzione multimediale",http://www.unibo.it/it/didattica/corsi-di-studio/corso/2019/0966,Bologna,Bologna,Studi umanistici,Laurea Magistrale,2,False,,,Italiano,libero accesso con verifica dell'adeguatezza della preparazione
2019/2020,False,0970,"Filologia, letteratura e tradizione classica",http://www.unibo.it/it/didattica/corsi-di-studio/corso/2019/0970,Bologna,Bologna,Studi umanistici,Laurea Magistrale,2,False,,,Italiano,libero accesso con verifica dell'adeguatezza della preparazione
2019/2020,True,0971,Geografia e processi territoriali,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2019/0971,Bologna,Bologna,Studi umanistici,Laurea Magistrale,2,False,,,Italiano,libero accesso con verifica dell'adeguatezza della preparazione
2019/2020,False,0977,Arti visive,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2019/0977,Bologna,Bologna,Studi umanistici,Laurea Magistrale,2,False,,,Italiano,libero accesso con verifica dell'adeguatezza della preparazione
2019/2020,True,0979,Lingue e letterature straniere,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2019/0979,Bologna,Bologna,"Lingue e Letterature, Traduzione e Interpretazione",Laurea,3,False,,,Italiano,numero chiuso
2019/2020,True,0980,"Lingue, mercati e culture dell'Asia",http://www.unibo.it/it/didattica/corsi-di-studio/corso/2019/0980,Bologna,Bologna,"Lingue e Letterature, Traduzione e Interpretazione",Laurea,3,False,,,Italiano,numero chiuso
2019/2020,True,0981,"Letterature moderne, comparate e postcoloniali",http://www.unibo.it/it/didattica/corsi-di-studio/corso/2019/0981,Bologna,Bologna,"Lingue e Letterature, Traduzione e Interpretazione",Laurea Magistrale,2,True,Titolo multiplo,,Italiano,prova di verifica selettiva con bando
2019/2020,True,0983,Lingua e cultura italiane per stranieri,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2019/0983,Bologna,Bologna,"Lingue e Letterature, Traduzione e Interpretazione",Laurea Magistrale,2,False,,,Italiano,prova di verifica selettiva con bando
2019/2020,True,0989,Neuroscienze e riabilitazione neuropsicologica,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2019/0989,Cesena,Cesena,Psicologia,Laurea Magistrale,2,False,,,Italiano,libero accesso con verifica dell'adeguatezza della preparazione
2019/2020,True,0990,Psicologia clinica,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2019/0990,Cesena,Cesena,Psicologia,Laurea Magistrale,2,True,Titolo multiplo,,Italiano,libero accesso con verifica dell'adeguatezza della preparazione
2019/2020,True,0991,Psicologia cognitiva applicata,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2019/0991,Cesena,Bologna,Psicologia,Laurea Magistrale,2,False,,,Italiano,libero accesso con verifica dell'adeguatezza della preparazione
2019/2020,True,0993,Psicologia scolastica e di comunità,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2019/0993,Cesena,Cesena,Psicologia,Laurea Magistrale,2,True,Titolo multiplo,,Italiano,libero accesso con verifica dell'adeguatezza della preparazione
2019/2020,True,8004,Astronomia,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2019/8004,Bologna,Bologna,Scienze,Laurea,3,False,,,Italiano,numero chiuso
2019/2020,True,8005,Biotecnologie,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2019/8005,Bologna,Bologna,Farmacia e biotecnologie,Laurea,3,False,,,Italiano,numero chiuso
2019/2020,True,8006,Chimica e chimica dei materiali,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2019/8006,Bologna,Bologna,Scienze,Laurea,3,False,,,Italiano,numero chiuso
2019/2020,False,8007,Fisica,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2019/8007,Bologna,Bologna,Scienze,Laurea,3,False,,,Italiano,numero chiuso
2019/2020,True,8009,Informatica,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2019/8009,Bologna,Bologna,Scienze,Laurea,3,False,,,Italiano,numero chiuso
2019/2020,True,8010,Matematica,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2019/8010,Bologna,Bologna,Scienze,Laurea,3,False,,,Italiano,numero chiuso
2019/2020,True,8011,Scienze ambientali,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2019/8011,Ravenna,Ravenna,Scienze,Laurea,3,False,,,Italiano,libero accesso con verifica delle conoscenze
2019/2020,True,8012,Scienze biologiche,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2019/8012,Bologna,Bologna,Scienze,Laurea,3,False,,,Italiano,numero chiuso
2019/2020,True,8014,Informatica per il management,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2019/8014,Bologna,Bologna,Scienze,Laurea,3,False,,,Italiano,numero chiuso
2019/2020,True,8015,Scienze geologiche,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2019/8015,Bologna,Bologna,Scienze,Laurea,3,False,,,Italiano,libero accesso con verifica delle conoscenze
2019/2020,True,8016,Scienze naturali,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2019/8016,Bologna,Bologna,Scienze,Laurea,3,False,,,Italiano,numero chiuso
2019/2020,True,8018,Astrofisica e cosmologia,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2019/8018,Bologna,Bologna,Scienze,Laurea Magistrale,2,False,,,Italiano,libero accesso con verifica dell'adeguatezza della preparazione
2019/2020,True,8020,Bioinformatics,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2019/8020,Bologna,Bologna,Farmacia e biotecnologie,Laurea Magistrale,2,True,Titolo multiplo,Erogato in lingua straniera,Inglese,libero accesso con verifica dell'adeguatezza della preparazione
2019/2020,True,8021,Biologia molecolare e cellulare,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2019/8021,Bologna,Bologna,Farmacia e biotecnologie,Laurea Magistrale,2,False,,,Italiano,libero accesso con verifica dell'adeguatezza della preparazione
2019/2020,False,8026,Fotochimica e materiali molecolari,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2019/8026,Bologna,Bologna,Scienze,Laurea Magistrale,2,False,,,Italiano,libero accesso con verifica dell'adeguatezza della preparazione
2019/2020,False,8027,Geologia e territorio,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2019/8027,Bologna,Bologna,Scienze,Laurea Magistrale,2,False,,,Italiano,libero accesso con verifica dell'adeguatezza della preparazione
2019/2020,True,8028,Informatica,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2019/8028,Bologna,Bologna,Scienze,Laurea Magistrale,2,True,Titolo multiplo,,Italiano,libero accesso con verifica dell'adeguatezza della preparazione
2019/2020,False,8037,Scienze e tecniche dell'attività sportiva,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2019/8037,Bologna,Bologna,Scienze motorie,Laurea Magistrale,2,False,,,Italiano,libero accesso con verifica dell'adeguatezza della preparazione
2019/2020,True,8038,"Economia, mercati e istituzioni",http://www.unibo.it/it/didattica/corsi-di-studio/corso/2019/8038,Bologna,Bologna,Economia e management,Laurea,3,False,,,Italiano,numero chiuso
2019/2020,True,8040,Servizio sociale,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2019/8040,Bologna,Bologna,Sociologia,Laurea,3,False,,,Italiano,numero chiuso
2019/2020,True,8048,Scienze internazionali e diplomatiche,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2019/8048,Forlì,Forlì,Scienze politiche,Laurea,3,True,,Erogato in lingua straniera (solo alcuni curricula),Italiano Inglese,numero chiuso
2019/2020,True,8049,Interdisciplinary research and studies on eastern europe,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2019/8049,Forlì,Forlì,Scienze politiche,Laurea Magistrale,2,True,Titolo congiunto,Erogato in lingua straniera,Inglese,numero chiuso
2019/2020,True,8051,Mass media e politica,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2019/8051,Forlì,Forlì,Scienze politiche,Laurea Magistrale,2,False,,,Italiano,libero accesso con verifica dell'adeguatezza della preparazione
2019/2020,True,8059,Mediazione linguistica interculturale,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2019/8059,Forlì,Forlì,"Lingue e Letterature, Traduzione e Interpretazione",Laurea,3,True,Titolo multiplo,,Italiano,numero chiuso
2019/2020,True,8060,Interpretazione,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2019/8060,Forlì,Forlì,"Lingue e Letterature, Traduzione e Interpretazione",Laurea Magistrale,2,False,,,Italiano,numero chiuso
2019/2020,True,8182,Design del prodotto industriale,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2019/8182,Bologna,Bologna,Ingegneria e architettura,Laurea,3,False,,,Italiano,numero chiuso
2019/2020,True,8204,Odontoiatria e protesi dentaria,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2019/8204,Bologna,Bologna,Medicina e Chirurgia,Laurea Magistrale a ciclo unico,6,False,,,Italiano,numero chiuso
2019/2020,True,8208,Matematica,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2019/8208,Bologna,Bologna,Scienze,Laurea Magistrale,2,False,,,Italiano,libero accesso con verifica dell'adeguatezza della preparazione
2019/2020,False,8405,Economia aziendale,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2019/8405,Bologna,,Economia e management,Laurea,3,False,,,Italiano,numero chiuso
2019/2020,True,8406,Management e marketing,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2019/8406,Bologna,Bologna,Economia e management,Laurea,3,False,,,Italiano,numero chiuso
2019/2020,False,8407,Business and economics,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2019/8407,Bologna,,Economia e management,Laurea,3,True,,Erogato in lingua straniera,Inglese,numero chiuso
2019/2020,True,8408,Economics,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2019/8408,Bologna,Bologna,Economia e management,Laurea Magistrale,2,True,,Erogato in lingua straniera,Inglese,libero accesso con verifica dell'adeguatezza della preparazione
2019/2020,True,8412,Chimica e tecnologia farmaceutiche,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2019/8412,Bologna,Bologna,Farmacia e biotecnologie,Laurea Magistrale a ciclo unico,5,False,,,Italiano,numero chiuso
2019/2020,False,8413,Farmacia,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2019/8413,Bologna,Bologna,Farmacia e biotecnologie,Laurea Magistrale a ciclo unico,5,False,,,Italiano,numero chiuso
2019/2020,False,8414,Farmacia,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2019/8414,Rimini,Rimini,Farmacia e biotecnologie,Laurea Magistrale a ciclo unico,5,False,,,Italiano,numero chiuso
2019/2020,True,8415,Medicina e chirurgia,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2019/8415,Bologna,Bologna,Medicina e Chirurgia,Laurea Magistrale a ciclo unico,6,False,,,Italiano,numero chiuso
2019/2020,True,8418,Analisi e gestione dell'ambiente,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2019/8418,Ravenna,Ravenna,Scienze,Laurea Magistrale,2,True,Titolo multiplo (solo alcuni curricula),Erogato in lingua straniera (solo alcuni curricula),Italiano Inglese,libero accesso con verifica dell'adeguatezza della preparazione
2019/2020,False,8419,Biodiversità ed evoluzione,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2019/8419,Bologna,Bologna,Scienze,Laurea Magistrale,2,False,,,Italiano,libero accesso con verifica dell'adeguatezza della preparazione
2019/2020,True,8420,Economia e politica economica,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2019/8420,Bologna,Bologna,Economia e management,Laurea Magistrale,2,True,,Erogato in lingua straniera (solo alcuni curricula),Italiano Inglese,libero accesso con verifica dell'adeguatezza della preparazione
2019/2020,True,8470,Dietistica (abilitante alla professione sanitaria di dietista),http://www.unibo.it/it/didattica/corsi-di-studio/corso/2019/8470,Bologna,Bologna,Medicina e Chirurgia,Laurea,3,False,,,Italiano,numero chiuso
2019/2020,True,8473,Infermieristica (abilitante alla professione sanitaria di infermiere),http://www.unibo.it/it/didattica/corsi-di-studio/corso/2019/8473,Bologna,Bologna,Medicina e Chirurgia,Laurea,3,False,,,Italiano,numero chiuso
2019/2020,True,8474,Infermieristica (abilitante alla professione sanitaria di infermiere),http://www.unibo.it/it/didattica/corsi-di-studio/corso/2019/8474,Ravenna,Faenza,Medicina e Chirurgia,Laurea,3,False,,,Italiano,numero chiuso
2019/2020,True,8475,Infermieristica (abilitante alla professione sanitaria di infermiere),http://www.unibo.it/it/didattica/corsi-di-studio/corso/2019/8475,Rimini,Rimini,Medicina e Chirurgia,Laurea,3,False,,,Italiano,numero chiuso
2019/2020,True,8476,Fisioterapia (abilitante alla professione sanitaria di fisioterapista),http://www.unibo.it/it/didattica/corsi-di-studio/corso/2019/8476,Bologna,Bologna,Medicina e Chirurgia,Laurea,3,False,,,Italiano,numero chiuso
2019/2020,True,8477,Educazione professionale (abilitante alla professione sanitaria di educatore professionale),http://www.unibo.it/it/didattica/corsi-di-studio/corso/2019/8477,Bologna,Imola,Medicina e Chirurgia,Laurea,3,False,,,Italiano,numero chiuso
2019/2020,False,8478,Logopedia (abilitante alla professione sanitaria di logopedista),http://www.unibo.it/it/didattica/corsi-di-studio/corso/2019/8478,Ravenna,Faenza,Medicina e Chirurgia,Laurea,3,False,,,Italiano,numero chiuso
2019/2020,True,8479,Podologia (abilitante alla professione sanitaria di podologo),http://www.unibo.it/it/didattica/corsi-di-studio/corso/2019/8479,Bologna,Bologna,Medicina e Chirurgia,Laurea,3,False,,,Italiano,numero chiuso
2019/2020,True,8481,Igiene dentale (abilitante alla professione sanitaria di igienista dentale),http://www.unibo.it/it/didattica/corsi-di-studio/corso/2019/8481,Bologna,Bologna,Medicina e Chirurgia,Laurea,3,False,,,Italiano,numero chiuso
2019/2020,True,8482,Tecniche di neurofisiopatologia (abilitante alla professione sanitaria di tecnico di neurofisiopatologia),http://www.unibo.it/it/didattica/corsi-di-studio/corso/2019/8482,Bologna,Bologna,Medicina e Chirurgia,Laurea,3,False,,,Italiano,numero chiuso
